中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.46.188.190,443,2a09:bac1:76c0:118::312:1c,US,Toronto,隧道,21 ms,88 Mbps,11366 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,100 ms,212 Mbps,27238 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,51 ms,452 Mbps,57856 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,61 ms,285 Mbps,36556 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,66 ms,415 Mbps,53145 kB/s
193.122.197.111,443,193.122.197.111,15 Mbps,1967 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,16 ms,745 Mbps,95436 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,59 ms,367 Mbps,47001 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,105 ms,7 Mbps,987 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,19 ms,800 Mbps,102400 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,9 ms,444 Mbps,56934 kB/s
129.153.119.97,443,129.153.119.97,,colo.txt:Los Angeles,中转,0 ms,46 Mbps,5976 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,48 Mbps,6270 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,36 ms,45 Mbps,5797 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,50 ms,408 Mbps,52326 kB/s
34.82.76.253,443,35.233.242.94,US,Seattle,隧道,88 ms,424 Mbps,54374 kB/s
132.145.152.194,443,132.145.152.194,US,Ashburn,中转,23 ms,231 Mbps,29593 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,48 ms,463 Mbps,59289 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,53 ms,101 Mbps,13004 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,65 ms,72 Mbps,9235 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,53 ms,7 Mbps,917 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,194 Mbps,24883 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,100 ms,45 Mbps,5878 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,50 ms,431 Mbps,55193 kB/s
130.61.23.77,443,130.61.23.77,160 Mbps,20582 kB/s
89.168.118.76,443,89.168.118.76,DE,Frankfurt,中转,117 ms,46 Mbps,5897 kB/s
129.146.111.62,443,129.146.111.62,US,Los Angeles,中转,61 ms,354 Mbps,45363 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,117 ms,180 Mbps,23040 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,67 ms,343 Mbps,43929 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,57 ms,131 Mbps,16793 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,173 Mbps,22220 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,58 ms,387 Mbps,49561 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,146 ms,42 Mbps,5450 kB/s
152.67.78.184,443,152.67.78.184,CH,Zurich,中转,117 ms,39 Mbps,5042 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,61 ms,248 Mbps,31744 kB/s
43.131.49.250,443,43.131.49.250,DE,Frankfurt,中转,105 ms,169 Mbps,21708 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,173 ms,100 Mbps,12800 kB/s
193.123.33.178,443,2a0b:21c0:100a:1b0:0:b9ed:cf8e:edeb,DE,Frankfurt,隧道,109 ms,96 Mbps,12390 kB/s
150.136.61.148,443,2603:c020:4009:349a:e5b2:21c2:5db7:b3d3,US,Ashburn,隧道,45 ms,59 Mbps,7628 kB/s
192.9.158.188,443,2a09:bac1:7680:1cf0::1d2:4e,US,San Jose,隧道,102 ms,78 Mbps,10035 kB/s
64.110.103.69,443,64.110.103.69,40 Mbps,5185 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,197 ms,40 Mbps,5174 kB/s
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,105 ms,24 Mbps,3172 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,202 ms,74 Mbps,9542 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,204 ms,36 Mbps,4619 kB/s
144.22.252.124,443,144.22.252.124,BR,S
