中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
184.169.181.217,443,184.169.181.217,US,San Jose,中转,35 ms,1112 Mbps,142336 kB/s
129.146.7.98,443,2a09:bac1:76c0:e18::1bd:ed,US,Los Angeles,隧道,22 ms,74 Mbps,9543 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,57 ms,452 Mbps,57958 kB/s
35.197.23.75,443,35.212.191.179,US,Seattle,隧道,38 ms,606 Mbps,77619 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,27 ms,785 Mbps,100556 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,45 ms,38 Mbps,4972 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,81 ms,425 Mbps,54476 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,204 Mbps,26112 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,18 ms,774 Mbps,99123 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,68 ms,321 Mbps,41164 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,139 ms,4 Mbps,624 kB/s
155.248.196.123,443,155.248.196.123,US,Vancouver,中转,24 ms,52 Mbps,6755 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,36 ms,604 Mbps,77414 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,149 ms,126 Mbps,16179 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,142 ms,160 Mbps,20480 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,182 ms,2 Mbps,372 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,70 ms,11 Mbps,1508 kB/s
35.230.79.26,443,35.212.191.179,US,Seattle,隧道,44 ms,513 Mbps,65740 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,151 ms,124 Mbps,15872 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,42 ms,287 Mbps,36761 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,60 ms,428 Mbps,54784 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,142 ms,22 Mbps,2846 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,157 ms,146 Mbps,18739 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,37 ms,960 Mbps,122880 kB/s
47.90.141.204,443,91.149.239.122,US,Los Angeles,隧道,72 ms,33 Mbps,4288 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:105,KR,Seoul,隧道,151 ms,118 Mbps,15155 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,91 ms,10 Mbps,1291 kB/s
146.56.188.113,443,146.56.188.113,KR,Seoul,中转,141 ms,41 Mbps,5260 kB/s
158.101.141.253,443,158.101.141.253,JP,Tokyo,中转,172 ms,103 Mbps,13209 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,169 ms,38 Mbps,4965 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,190 ms,47 Mbps,6111 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,196 ms,43 Mbps,5609 kB/s
8.212.48.236,443,47.76.21.97,HK,Hong Kong,隧道,193 ms,4 Mbps,533 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,177 ms,173 Mbps,22220 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,119 ms,168 Mbps,21606 kB/s
130.61.23.77,443,130.61.23.77,143 Mbps,18329 kB/s
146.56.129.186,443,146.56.129.186,KR,Seoul,中转,150 ms,120 Mbps,15360 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,156 ms,143 Mbps,18329 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,166 ms,128 Mbps,16384 kB/s
8.219.116.162,443,8.219.66.146,SG,Singapore,隧道,215 ms,79 Mbps,10137 kB/s
8.219.192.155,443,47.245.114.12,SG,Singapore,隧道,205 ms,25 Mbps,3227 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,177 ms,0 Mbps,74 kB/s
47.245.105.252,443,47.245.84.175,SG,Singapore,隧道,221 ms,88 Mbps,11264 kB/s
158.101.212.88,443,2a0b:21c0:1007:1c7:0:6eaa:e907:912e,DE,Frankfurt,隧道,144 ms,127 Mbps,16281 kB/s
168.138.149.17,443,168.138.149.17,BR,S
