中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,376 Mbps,48230 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,28 ms,338 Mbps,43315 kB/s
150.230.47.3,443,150.230.47.3,US,San Jose,中转,43 ms,62 Mbps,8062 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,650 Mbps,83251 kB/s
198.46.193.167,443,198.46.193.167,US,Dallas,中转,39 ms,50 Mbps,6481 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,14 ms,1672 Mbps,214016 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,3 ms,646 Mbps,82739 kB/s
150.136.240.243,443,150.136.240.243,US,Ashburn,中转,74 ms,107 Mbps,13721 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,28 ms,1376 Mbps,176128 kB/s
192.9.138.241,443,192.9.138.241,US,San Jose,中转,51 ms,1648 Mbps,210944 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,76 ms,45 Mbps,5870 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,109 ms,1160 Mbps,148480 kB/s
198.23.236.101,443,198.23.236.101,US,San Jose,中转,28 ms,753 Mbps,96460 kB/s
35.230.79.26,443,34.169.20.76,US,Seattle,隧道,93 ms,644 Mbps,82432 kB/s
150.230.44.13,443,150.230.44.13,US,San Jose,中转,26 ms,370 Mbps,47411 kB/s
129.153.119.97,443,129.153.119.97,US,Los Angeles,中转,112 ms,67 Mbps,8615 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,64 ms,365 Mbps,46796 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,19 ms,60 Mbps,7799 kB/s
35.197.23.75,443,34.169.20.76,US,Seattle,隧道,54 ms,824 Mbps,105472 kB/s
168.138.66.11,443,168.138.66.11,CA,Montréal,中转,101 ms,39 Mbps,5092 kB/s
132.226.31.178,443,2a09:bac1:76c0:e18::26a:67,US,Los Angeles,隧道,21 ms,38 Mbps,4927 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,205 Mbps,26316 kB/s
