中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.146.7.98,443,2a09:bac5:60ef:1846::26b:7c,US,Los Angeles,隧道,20 ms,96 Mbps,12288 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,27 ms,343 Mbps,43929 kB/s
130.61.39.13,443,2603:c020:801c:9969:5536:e049:b1aa:bdf2,DE,Frankfurt,隧道,146 ms,136 Mbps,17408 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,42 ms,635 Mbps,81305 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,27 ms,644 Mbps,82432 kB/s
35.230.79.26,443,34.82.236.30,US,Seattle,隧道,45 ms,612 Mbps,78438 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,16 ms,1280 Mbps,163840 kB/s
35.197.23.75,443,34.82.236.30,US,Seattle,隧道,52 ms,600 Mbps,76902 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,72 ms,412 Mbps,52736 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,109 ms,234 Mbps,30003 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,36 ms,101 Mbps,13004 kB/s
3.144.191.4,443,3.144.191.4,US,Columbus,中转,72 ms,376 Mbps,48230 kB/s
129.146.168.102,443,104.28.205.110,US,Los Angeles,隧道,66 ms,58 Mbps,7548 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,547 Mbps,70041 kB/s
192.9.158.188,443,2a09:bac5:6444:28::4:22f,US,San Jose,隧道,39 ms,188 Mbps,24166 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,74 ms,414 Mbps,53043 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,148 ms,21 Mbps,2796 kB/s
138.3.254.39,443,138.3.254.39,DE,Frankfurt,中转,155 ms,119 Mbps,15257 kB/s
47.88.15.127,443,47.88.15.127,US,San Jose,中转,37 ms,169 Mbps,21708 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,171 ms,152 Mbps,19558 kB/s
47.254.65.110,443,47.254.65.110,US,San Jose,中转,28 ms,3 Mbps,506 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,144 ms,132 Mbps,16998 kB/s
129.154.50.220,443,129.154.50.220,KR,Seoul,中转,132 ms,126 Mbps,16179 kB/s
47.253.223.200,443,47.253.223.200,US,Ashburn,中转,70 ms,55 Mbps,7050 kB/s
129.146.240.62,443,129.146.240.62,US,Los Angeles,中转,17 ms,432 Mbps,55296 kB/s
129.153.223.37,443,129.153.223.37,US,Los Angeles,中转,31 ms,675 Mbps,86425 kB/s
152.67.142.211,443,2a0b:21c0:100a:1fa:0:acf:d082:5668,DE,Frankfurt,隧道,151 ms,102 Mbps,13107 kB/s
144.21.35.5,443,98.98.156.34,DE,Frankfurt,隧道,150 ms,118 Mbps,15155 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,141 ms,165 Mbps,21196 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,190 ms,125 Mbps,16076 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,198 ms,3 Mbps,397 kB/s
8.222.219.115,443,8.219.142.198,SG,Singapore,隧道,184 ms,87 Mbps,11161 kB/s
129.80.123.71,443,2603:c020:4015:a57e:d0c4:7f84:4e62:d43,US,Ashburn,隧道,69 ms,52 Mbps,6682 kB/s
130.61.23.77,443,130.61.23.77,DE,Frankfurt,中转,175 ms,130 Mbps,16691 kB/s
47.90.141.204,443,91.149.239.145,US,Los Angeles,隧道,72 ms,28 Mbps,3635 kB/s
140.238.23.148,443,140.238.23.148,KR,Seoul,中转,147 ms,46 Mbps,5921 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,60 ms,43 Mbps,5588 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,159 ms,133 Mbps,17100 kB/s
152.67.203.34,443,104.28.207.57,KR,Seoul,隧道,134 ms,143 Mbps,18329 kB/s
138.3.240.63,443,138.3.240.63,DE,Frankfurt,中转,198 ms,47 Mbps,6060 kB/s
152.70.52.215,443,152.70.52.215,NL,Amsterdam,中转,150 ms,129 Mbps,16588 kB/s
47.245.102.218,443,47.236.51.143,SG,Singapore,隧道,184 ms,89 Mbps,11468 kB/s
8.219.101.43,443,8.222.220.238,SG,Singapore,隧道,178 ms,92 Mbps,11776 kB/s
129.154.46.115,443,104.28.201.82,IN,Hyderabad,隧道,230 ms,32 Mbps,4171 kB/s
8.222.242.178,443,8.222.222.65,SG,Singapore,隧道,185 ms,92 Mbps,11776 kB/s
140.238.60.225,443,140.238.60.225,JP,Tokyo,中转,188 ms,88 Mbps,11264 kB/s
8.219.135.74,443,8.219.96.61,SG,Singapore,隧道,178 ms,92 Mbps,11878 kB/s
141.148.238.161,443,2a0b:21c0:1007:1cb:0:484f:9522:b4ea,DE,Frankfurt,隧道,181 ms,140 Mbps,17920 kB/s
8.219.156.195,443,47.236.51.143,SG,Singapore,隧道,196 ms,88 Mbps,11264 kB/s
8.222.130.169,443,8.222.222.65,SG,Singapore,隧道,177 ms,88 Mbps,11366 kB/s
141.147.107.52,443,2606:f240:f00:a683:0:9c1c:4276:fdc9,US,Frankfurt,隧道,154 ms,121 Mbps,15564 kB/s
141.147.116.180,443,98.98.156.22,DE,Frankfurt,隧道,164 ms,107 Mbps,13721 kB/s
158.101.209.76,443,158.101.209.76,NL,Amsterdam,中转,144 ms,117 Mbps,15052 kB/s
8.219.244.61,443,47.245.84.175,SG,Singapore,隧道,215 ms,85 Mbps,10956 kB/s
8.222.165.89,443,8.222.207.55,SG,Singapore,隧道,192 ms,84 Mbps,10854 kB/s
152.70.57.182,443,152.70.57.182,NL,Amsterdam,中转,148 ms,28 Mbps,3676 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,152 ms,40 Mbps,5187 kB/s
158.178.238.239,443,158.178.238.239,SG,Singapore,中转,208 ms,43 Mbps,5569 kB/s
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,154 ms,80 Mbps,10342 kB/s
158.180.89.73,443,2603:c024:e:6666::8888,KR,Seoul,隧道,156 ms,153 Mbps,19660 kB/s
8.219.69.208,443,8.219.96.61,SG,Singapore,隧道,194 ms,96 Mbps,12390 kB/s
8.222.201.30,443,8.222.236.107,SG,Singapore,隧道,198 ms,89 Mbps,11468 kB/s
8.219.149.173,443,8.222.210.246,SG,Singapore,隧道,218 ms,59 Mbps,7593 kB/s
141.148.220.141,443,2a09:bac1:36a0:18::243:20,IN,Mumbai,隧道,278 ms,17 Mbps,2251 kB/s
132.145.116.185,443,132.145.116.185,JP,Tokyo,中转,183 ms,35 Mbps,4605 kB/s
129.159.22.4,443,129.159.22.4,IN,Chennai,中转,245 ms,30 Mbps,3919 kB/s
144.24.78.162,443,144.24.78.162,KR,Seoul,中转,143 ms,79 Mbps,10137 kB/s
132.226.7.217,443,132.226.7.217,JP,Tokyo,中转,238 ms,23 Mbps,2959 kB/s
8.219.15.163,443,8.222.210.246,SG,Singapore,隧道,216 ms,54 Mbps,6990 kB/s
8.219.54.201,443,47.236.58.234,SG,Singapore,隧道,210 ms,65 Mbps,8339 kB/s
129.154.59.99,443,129.154.59.99,KR,Seoul,中转,162 ms,43 Mbps,5541 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,143 ms,39 Mbps,5049 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,193 ms,22 Mbps,2877 kB/s
138.2.56.246,443,138.2.56.246,JP,Osaka,中转,208 ms,53 Mbps,6847 kB/s
144.24.90.107,443,2603:c024:4:da6e:29b:6c99:385b:c051,KR,Seoul,隧道,142 ms,35 Mbps,4523 kB/s
8.219.88.118,443,8.219.142.198,SG,Singapore,隧道,199 ms,56 Mbps,7242 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,165 ms,99 Mbps,12697 kB/s
138.2.123.70,443,138.2.123.70,KR,Seoul,中转,168 ms,124 Mbps,15872 kB/s
129.154.207.203,443,2a09:bac1:3f00:90::22:11b,KR,Seoul,隧道,140 ms,128 Mbps,16384 kB/s
8.219.120.232,443,8.219.142.198,SG,Singapore,隧道,176 ms,92 Mbps,11776 kB/s
141.148.233.185,443,2a0b:21c0:1007:c9:0:4ca7:ae89:6469,DE,Frankfurt,隧道,164 ms,125 Mbps,16076 kB/s
152.70.90.168,443,2603:c022:8004:1505::5,KR,Seoul,隧道,157 ms,124 Mbps,15974 kB/s
158.101.220.201,443,2a0b:21c0:1007:c7:0:fce0:12d5:bc9f,DE,Frankfurt,隧道,143 ms,91 Mbps,11673 kB/s
8.222.230.18,443,8.222.220.238,SG,Singapore,隧道,176 ms,80 Mbps,10342 kB/s
152.69.224.39,443,128.14.110.206,SG,Singapore,隧道,226 ms,84 Mbps,10752 kB/s
8.222.221.226,443,8.222.222.65,SG,Singapore,隧道,195 ms,92 Mbps,11776 kB/s
8.219.129.221,443,47.236.1.53,SG,Singapore,隧道,175 ms,84 Mbps,10854 kB/s
